Country,2020
United States ,69392
Iceland ,67488
Luxembourg ,65854
Switzerland ,64824
Netherlands ,58828
Denmark ,58430
Norway ,55780
Canada ,55342
Australia ,55206
Belgium ,54237
Germany ,53745
Austria ,53132
Ireland ,49474
United Kingdom ,47147
Sweden ,47020
Finland ,46230
France ,45581
New Zealand ,45269
South Korea ,41960
Slovenia ,41445
Israel ,39322
Japan ,38515
Spain ,37922
Italy ,37769
Poland ,32527
Lithuania ,31811
Estonia ,30720
Czech Republic ,29885
Latvia ,29876
Portugal ,28410
Greece ,27207
Chile ,26729
Hungary ,25410
Slovakia ,23619
Mexico ,16230
